Key,Type,Desc,English,French,Russian,German,Korean,Chinese,Indonesian,Italian,Japanese,Persian,Romanian,Thai,Spanish,Turkish,Vietnamese,Polish,Arabic,Czech,Portuguese (Brazil)
Descriptions/depot_desc,Text,,"resource structure, workers deliver gold here.",[i2auto]"""la structure des ressources, les travailleurs livrer de l'or ici.""",[i2auto]"""Структура ресурсов, работники доставить здесь золото.""",[i2auto]"""Ressourcenstruktur, die Arbeitnehmer zu liefern Gold hier.""",[i2auto]"""자원 구조, 노동자들은 여기에 금을 제공합니다.""",[i2auto]资源结构，这里的工人提供黄金。,[i2auto]"""struktur sumber daya, pekerja memberikan emas di sini.""",[i2auto]"""struttura delle risorse, i lavoratori consegnare oro qui.""",[i2auto]リソース構造は、労働者はここで金​​を提供します。,[i2auto]ساختار منابع، کارگران ارائه طلا در اینجا.,[i2auto]"""structura de resurse, lucrătorii livra aur aici.""",[i2auto]โครงสร้างทรัพยากรแรงงานส่งมอบทองที่นี่,[i2auto]"""estructura de recursos, los trabajadores de entregar el oro aquí.""",[i2auto]"""kaynak yapısı, işçiler burada altın teslim.""",[i2auto]"""cơ cấu tài nguyên, lao động cung cấp vàng ở đây.""",[i2auto]"""Struktura zasobów, pracownicy dostarczają złoto tutaj.""",[i2auto]هيكل الموارد والعاملين تسليم الذهب هنا.,[i2auto]"""Struktura zdrojů, pracovníci dodat zlato tady.""",[i2auto]"""estrutura de recursos, os trabalhadores entregar o ouro aqui."""
Descriptions/dilophosaur_desc,Text,,"fast moving ranged attacker, spits poison from a medium distance. stronger against humans.",[i2auto]"""mouvement rapide attaquant à distance, crache poison de moyenne distance. plus fort contre les humains.""",[i2auto]"""быстро движущихся дальнего боя атакующего, плюет ядом из среднего расстояния. сильнее против людей.""",[i2auto]"""schnelllebigen reichten Angreifer, spuckt Gift aus mittlerer Entfernung. stärker gegen Menschen.""",[i2auto]"""빠른 원거리 공격을 이동, 중간 거리에서 독을 뱉어. 인간에 ​​대한 강한.""",[i2auto]快速移动的远程攻击者，吐出毒从媒体的距离。强对抗人类。,[i2auto]"""bergerak cepat berkisar penyerang, meludah racun dari jarak menengah. kuat terhadap manusia.""",[i2auto]"""in rapido movimento attacchi a distanza, sputa veleno da una distanza media. più forte contro gli umani.""",[i2auto]高速範囲であった攻撃者の移動、中距離から毒を吐きます。人間に対する強いです。,[i2auto]حرکت سریع مهاجم محدوده، تف سم از راه دور متوسط. قوی تر در برابر انسان است.,[i2auto]"""mișcă repede atacator variat, scuipa otrava de la o distanță medie. mai puternic împotriva oamenilor.""",[i2auto]ที่เคลื่อนไหวอย่างรวดเร็วตั้งแต่โจมตีถ่มน้ำลายพิษจากระยะกลาง แข็งแกร่งกับมนุษย์,[i2auto]"""movimiento rápido atacante a distancia, escupe veneno desde una distancia media. más fuerte contra los seres humanos.""",[i2auto]"""Hızlı değişmekteydi saldırganı hareketli, orta mesafeden zehir tükürür. insanlara karşı güçlü.""",[i2auto]"""nhanh chóng di chuyển tấn công tầm xa, phun nọc độc từ một khoảng cách trung bình. mạnh mẽ hơn chống lại con người.""",[i2auto]"""szybko poruszających się wahała napastnika, pluje trucizną ze średniej odległości. mocniejszy wobec ludzi.""",[i2auto]تتحرك بسرعة مهاجم تراوحت، يبصق السم من مسافة متوسطة. أقوى ضد البشر.,[i2auto]"""rychle se pohybující na dálku útočníka, plive jed ze střední vzdálenosti. silnější proti lidem.""","movimento rápido atacante a distancia, cospe veneno de uma distância média. mais forte contra os seres humanos."
Descriptions/lizardharas_desc,Text,,Recruit mounted dinosaurs.,[i2auto]Recruter monté dinosaures.,[i2auto]Рекрут установлен динозавров.,[i2auto]Recruit montiert Dinosaurier.,[i2auto]채용 공룡을 장착.,[i2auto]招募安装恐龙。,[i2auto]Merekrut dipasang dinosaurus.,[i2auto]Recluta montato dinosauri.,[i2auto]リクルートは、恐竜を搭載しています。,[i2auto]استخدام دایناسورها نصب شده است.,[i2auto]Montat Recruit dinozauri.,[i2auto]รับสมัครติดไดโนเสาร์,[i2auto]Reclutar monta dinosaurios.,[i2auto]Acemi dinozorları monte edilmiş.,[i2auto]Tuyển dụng gắn kết những con khủng long.,[i2auto]Rekrut zamontowany dinozaury.,[i2auto]شنت مجند الديناصورات.,[i2auto]Recruit namontované dinosaury.,Recruta dinossauros de montaria.
Descriptions/tribecenter_desc,Text,,"main structure of your tribe, use it to recruit workers. if you lose all your tribe centers, you lose the battle.",[i2auto]"""structure principale de votre tribu, l'utiliser pour recruter des travailleurs. si vous perdez tous vos centres de la tribu, vous perdez la bataille.""",[i2auto]"""Основная структура вашего племени, использовать его для найма работников. если вы потеряете все ваше племя центры, вы проиграли сражение.""",[i2auto]"""Hauptstruktur Ihres Stammes, verwenden Sie es für die Arbeitnehmer zu rekrutieren. wenn Sie alle Ihre Stamm-Zentren verlieren, verlieren Sie die Schlacht.""",[i2auto]"""당신의 부족의 주요 구조는 노동자를 모집하는 데 사용합니다. 당신의 모든 부족 센터를 분실 한 경우, 당신은 전투를 잃게됩니다.""",[i2auto]你的部落的主体结构，用它来招聘工人。如果你失去所有的部落中心，你失去了战斗。,[i2auto]"""Struktur utama dari suku Anda, menggunakannya untuk merekrut pekerja. jika Anda kehilangan semua pusat suku Anda, Anda kehilangan pertempuran.""",[i2auto]"""struttura principale della tua tribù, lo utilizzano per assumere lavoratori. se si perde tutti i centri tribù, si perde la battaglia.""",[i2auto]あなたの部族の主な構造は、労働者を募集するためにそれを使用。あなたはすべてのあなたの部族センターを紛失した場合、あなたは戦いを失います。,[i2auto]ساختار اصلی قبیله خود را، استفاده از آن به استخدام کارگران است. اگر شما تمام مراکز قبیله خود را از دست بدهند، شما از جنگ از دست بدهند.,[i2auto]"""Structura principală a tribul tău, utilizați-l pentru a recruta lucrători. dacă vă veți pierde toate centrele tale trib, pierzi bătălia.""",[i2auto]โครงสร้างหลักของชนเผ่าของคุณใช้มันที่จะรับสมัครคนงาน ถ้าคุณสูญเสียศูนย์เผ่าทั้งหมดของคุณคุณจะสูญเสียการต่อสู้,[i2auto]"""estructura principal de su tribu, lo utilizan para reclutar trabajadores. si pierde todos sus centros de la tribu, se pierde la batalla.""",[i2auto]"""senin kabilesi ana yapısı, işçi işe kullanabilirsiniz. size tüm kabile merkezleri kaybederseniz, savaşı kaybedersiniz.""",[i2auto]"""Cấu trúc chính của bộ lạc của bạn, sử dụng nó để tuyển dụng lao động. nếu bạn mất tất cả các trung tâm bộ lạc của bạn, bạn thua.""",[i2auto]"""Główna konstrukcja swojego plemienia, użyj go do rekrutacji pracowników. Jeśli stracisz wszystkie ośrodki plemienia, tracisz bitwę.""",[i2auto]الهيكل الرئيسي للقبيلة الخاص بك، واستخدامها لتوظيف العمال. إذا كنت تفقد جميع مراكز قبيلة الخاص بك، فإنك تفقد المعركة.,[i2auto]"""Hlavním Struktura vašeho kmene, použít jej pro nábor pracovníků. pokud ztratíte všechny své kmene center, ztratíte bitvu.""","estrutura principal de sua tribo, use-a para recrutar trabalhadores. se você perder todos os seus centros de tribo, você perde a batalha."
Descriptions/neander_desc,Text,,"Basic human unit, slow but cheap",[i2auto]"""L'unité de l'homme fondamental, lent mais pas cher""",[i2auto]"""Основные человеком блок, медленно, но дешево""",[i2auto]"""Menschlichen Grundeinheit, langsam, aber billig""",[i2auto]"""인간의 기본적인 단위, 느리지 만 저렴한""",[i2auto]人的基本单元，缓慢，但价格便宜,[i2auto]"""Unit dasar manusia, lambat tapi murah""",[i2auto]"""Unità umana di base, lento ma a buon mercato""",[i2auto]人間の基本的な単位、遅いが安いです,[i2auto]واحد پایه انسان، آهسته اما ارزان,[i2auto]"""Unitate de bază al omului, lent, dar ieftin""",[i2auto]หน่วยพื้นฐานของมนุษย์ช้า แต่ราคาถูก,[i2auto]"""Unidad humana básica, lento pero barato""",[i2auto]"""Temel insan birim, yavaş ama ucuz""",[i2auto]"""Đơn vị cơ bản của con người, chậm nhưng giá rẻ""",[i2auto]"""Podstawową jednostką ludzką, powolny, ale tanio""",[i2auto]وحدة الإنسان الأساسية، وبطء ولكن رخيصة,[i2auto]"""Základní lidská jednotka, pomalu, ale levné""",unidade humana básica. lento mas barato.
Descriptions/obelisk_desc,Text,,The obelisk provides mana. Can only be constructed by the Brachiosaurus,[i2auto]L'obélisque fournit mana. Ne peut être construit par le Brachiosaurus,[i2auto]Обелиск дает ману. Может быть построена только брахиозавра,[i2auto]Der Obelisk bietet Mana. Kann nur durch den Brachiosaurus konstruiert werden,[i2auto]오벨리스크는 마나를 제공합니다. 브라키 오 사우루스 만 구성 할 수있다,[i2auto]方尖碑提供法力。只能由腕被构造,[i2auto]Obelisk menyediakan mana. Hanya dapat dibangun oleh Brachiosaurus,[i2auto]L'obelisco fornisce mana. Può essere costruito solo dal Brachiosaurus,[i2auto]オベリスクは、マナを提供します。ブラキオサウルスのみで構築することができます,[i2auto]ستون هرمی شکل سنگی مانا فراهم می کند. تنها می توان با براکیوزاروس ساخته,[i2auto]Obeliscul oferă Mana. Poate fi construit numai de Brachiosaurus,[i2auto]อนุสาวรีย์ให้มานะ เท่านั้นที่สามารถสร้างขึ้นโดย Brachiosaurus,[i2auto]El obelisco ofrece maná. Sólo puede ser construido por el Brachiosaurus,[i2auto]Dikilitaş mana sağlar. Brachiosaurus sadece inşa edilebilir,[i2auto]Các obelisk cung cấp mana. Chỉ có thể được xây dựng bởi các Brachiosaurus,[i2auto]Obelisk zapewnia manę. Może być wykonana jedynie przez Brachiosaurus,[i2auto]توفر المسلة مانا. لا يمكن إلا أن يتم بناؤها من قبل Brachiosaurus,[i2auto]Obelisk poskytuje manu. Může být postavena pouze Brachiosaurus,[i2auto]O obelisco fornece mana. Só pode ser construído pela Brachiosaurus
Descriptions/parasa_desc,Text,,"Because of its speed and awareness, parasaurolophus are very effective for escort and destroy spearmen.",[i2auto]"""En raison de sa vitesse et de sensibilisation, parasaurolophus sont très efficaces pour l'escorte et détruisent lanciers.""",[i2auto]"""Из-за своей скорости и осознания, parasaurolophus очень эффективны для эскорта и уничтожить стрелков.""",[i2auto]Aufgrund seiner Geschwindigkeit und Bewusstsein sind parasaurolophus sehr effektiv für die Begleitung und Lanzenträger zerstören.,[i2auto]"""때문에 속도와 인식의, 파라 사우 롤로 푸스는 호위에 매우 효과적이며, 창병을 파괴한다.""",[i2auto]由于它的速度和意识，parasaurolophus是非常有效的护航和摧毁长枪兵。,[i2auto]"""Karena kecepatan dan kesadaran, Parasaurolophus sangat efektif untuk pengawalan dan menghancurkan tombak.""",[i2auto]"""A causa della sua velocità e la consapevolezza, Parasaurolophus sono molto efficaci per la scorta e distruggere lancieri.""",[i2auto]理由は、そのスピードと意識の、パラサウロロフスは護衛のために非常に有効であると槍兵を破壊します。,[i2auto]به دلیل سرعت و آگاهی به آن، parasaurolophus برای اسکورت بسیار موثر هستند و از بین بردن اسپیرمن.,[i2auto]"""Din cauza vitezei și a gradului de conștientizare lui, Parasaurolophus sunt foarte eficiente pentru escorta si distruge lăncieri.""",[i2auto]เพราะความเร็วและการรับรู้ของ Parasaurolophus มีประสิทธิภาพมากสำหรับการพิทักษ์และทำลายหอก,[i2auto]"""Debido a su velocidad y conciencia, parasaurolophus son muy eficaces para la escolta y destruyen lanceros.""",[i2auto]"""Çünkü onun hız ve farkındalık, Parasaurolophus eskort için çok etkili ve mızrakçılar yok.""",[i2auto]"""Bởi vì tốc độ và nhận thức của nó, Parasaurolophus rất hiệu quả cho hộ tống và phá hủy spearmen.""",[i2auto]"""Ze względu na swoją szybkość i świadomości, Parasaurolophus są bardzo skuteczne dla eskorty i zniszczyć włóczników.""",[i2auto]بسبب سرعتها والوعي، باراصورولوفوس هي فعالة جدا لمرافقة وتدمير spearmen.,[i2auto]"""Vzhledem ke své rychlosti a informovanosti, Parasaurolophus jsou velmi účinné na escort a zničit spearmen.""","Devido à sua velocidade e consciência, parasaurolophus são muito eficazes para escolta e colocar destruir lanceiros."
Descriptions/raptor_desc,Text,,"Easily adapted to human control, velociraptor are cheap all-around fighters. ",[i2auto]"""Facilement adaptable au contrôle humain, velociraptor sont bon marché tout autour de combattants.""",[i2auto]"""Легко адаптировать к человеческому контролю, велоцираптор дешевые все вокруг бойцов.""",[i2auto]Leicht an menschlichen Kontrolle angepasst sind velociraptor günstigen Allround-Kämpfer.,[i2auto]"""쉽게 인간의 제어에 적합, 벨로시 랩터는 저렴한 만능 전투기입니다.""",[i2auto]容易适应人类的控制，伶很便宜的全能战士。,[i2auto]"""Mudah disesuaikan dengan kontrol manusia, velociraptor yang murah all-around pejuang.""",[i2auto]"""Può essere adattato in controllo umano, velociraptor sono a buon mercato all-around combattenti.""",[i2auto]簡単に人間の制御に適応し、velociraptorがすべての周りの安価な戦闘機です。,[i2auto]به راحتی به کنترل انسان اقتباس شده است، Velociraptor است ارزان تمام اطراف مبارزان هستند.,[i2auto]"""Ușor de adaptat la controlul uman, velociraptor sunt ieftine Toate-în jurul valorii de luptători.""",[i2auto]ดัดแปลงได้ง่ายต่อการควบคุมของมนุษย์ศาสนมีราคาถูกสู้ทุกรอบ,[i2auto]"""Se adapta fácilmente al control humano, velociraptor son baratos todos-en torno a los combatientes.""",[i2auto]Kolayca insan kontrolü adapte velociraptor ucuz all-around savaşçıları.,[i2auto]"""Dễ dàng thích nghi với sự kiểm soát của con người, Velociraptor có giá rẻ tất cả các xung quanh máy bay chiến đấu.""",[i2auto]"""Łatwo dostosować do kontroli człowieka, VelociRaptor są tanie wszystko wokół bojowników.""",[i2auto]تتكيف بسهولة مع سيطرة الإنسان، فيلوسيرابتور رخيصة للجميع حول المقاتلين.,[i2auto]"""Snadno přizpůsobit lidské kontroly, VelociRaptor jsou levné všichni-kolem bojovníci.""",[i2auto]"""Facilmente adaptado ao controle humano, velociraptor são baratos all-around lutadores."""
Descriptions/scouttower_desc,Text,,"Basic observation tower, enhances field of view and enable upgrades",[i2auto]"""Tour d'observation de base, améliore le champ de vision et de permettre des mises à niveau""",[i2auto]"""Основные смотровая башня, повышает поле зрения и включить обновления""",[i2auto]"""Basic-Aussichtsturm, verbessert Sichtfeld und ermöglichen Upgrades""",[i2auto]"""기본 전망대, 시야 및 업그레이드를 가능하게 향상""",[i2auto]基本观测塔，提高了视野，使升级,[i2auto]"""Menara observasi dasar, meningkatkan bidang pandang dan memungkinkan upgrade""",[i2auto]"""Torre di osservazione di base, aumenta il campo visivo e abilitare gli aggiornamenti""",[i2auto]視野を高め、アップグレードを可能にする、基本的な観測塔,[i2auto]برج عمومی مشاهده، افزایش میدان دید و فعال ارتقاء,[i2auto]"""Turn de observație de bază, îmbunătățește domeniul de vedere și pentru a permite upgrade-uri""",[i2auto]หอสังเกตการณ์พื้นฐานช่วยเพิ่มมุมมองและเปิดใช้งานการอัพเกรด,[i2auto]"""Torre de observación básica, aumenta el campo de visión y permitir actualizaciones""",[i2auto]"""Temel gözetleme kulesi, görüş alanı ve yükseltmeleri etkinleştirmek geliştirir""",[i2auto]"""Tháp quan sát cơ bản, tăng cường lĩnh vực xem và cho phép nâng cấp""",[i2auto]"""Podstawowe wieża widokowa, zwiększa pole widzenia i umożliwienie aktualizacji""",[i2auto]برج المراقبة الأساسية، ومجال الرؤية وتمكين ترقيات يعزز,[i2auto]"""Základní rozhledna, zvyšuje zorné pole a umožní modernizaci""",[i2auto]"""Torre de observação de base, campo de visão e ativar a atualização aumenta"""
Descriptions/spearman_desc,Text,,"Long range units, throw spears at enemies within range.",[i2auto]"""Unités à longue portée, jeter des lances sur les ennemis à portée.""",[i2auto]"""Длинные блоки диапазон, бросить копья на врагов в радиусе действия.""",[i2auto]"""Hohe Reichweite Einheiten, werfen Speere auf Gegner in Reichweite.""",[i2auto]"""장거리 단위, 범위 내 적에게 창을 던져.""",[i2auto]长距离单位，投掷长矛在范围内的敌人。,[i2auto]"""Unit jarak jauh, melemparkan tombak pada musuh dalam jangkauan.""",[i2auto]"""Unità a lungo raggio, gettare lance contro i nemici nel raggio d'azione.""",[i2auto]ロングレンジユニットは、範囲内の敵に槍を投げます。,[i2auto]واحد های دوربرد، پرتاب نیزه در دشمنان در محدوده.,[i2auto]"""Unități cu rază lungă, arunca sulițe la dușmani în raza de acțiune.""",[i2auto]หน่วยระยะยาวโยนหอกที่ศัตรูอยู่ในช่วง,[i2auto]"""Unidades de largo alcance, tirar lanzas a los enemigos dentro del alcance.""",[i2auto]"""Uzun menzilli üniteleri, aralığında düşmanlara mızrak atmak.""",[i2auto]"""Đơn vị tầm xa, ném lao vào kẻ thù trong phạm vi.""",[i2auto]"""Długie jednostki zakres, rzucać włóczniami na wrogów w zasięgu.""",[i2auto]وحدات طويلة المدى، ورمي الرماح على الأعداء ضمن النطاق.,[i2auto]"""Dlouhé Jednotky rozsahu, házet oštěpy na nepřátele v dosahu.""",[i2auto]"""Unidades de longo alcance, jogar lanças nos inimigos dentro do alcance."""
Descriptions/trex_desc,Text,,"these mighty beasts are the top of it's kind, although fast and strong, t-rex are very hard to tame.",[i2auto]"""ces puissantes bêtes sont au sommet de son genre, bien que rapide et forte, T-Rex sont très difficiles à apprivoiser.""",[i2auto]"""эти могущественные звери топ в своем роде, хотя быстрый и сильный, T-Rex очень трудно приручить.""",[i2auto]"""diese mächtigen Tiere sind die Besten ihrer Art, wenn auch schnell und stark, t-rex sind sehr schwer zu zähmen.""",[i2auto]"""이 거대한 짐승은 빠르고 강한, T- 렉스가 매우 어려운 길들 있지만 그것의 상단이, 종류의 수 있습니다.""",[i2auto]这些强大的野兽是它的顶部的那种，虽然快而强，霸王龙是很难驯服。,[i2auto]"""binatang ini perkasa adalah atas dari jenisnya, meskipun cepat dan kuat, t-rex sangat sulit untuk menjinakkan.""",[i2auto]"""questi possenti bestie sono il top del suo genere, anche se veloce e forte, t-rex sono molto difficili da domare.""",[i2auto]これらの巨大な獣は、T-REX、迅速かつ強力に飼いならすことは非常に難しいですが、それの上部が、親切ですしています。,[i2auto]این جانوران توانا هستند بالای این نوع، اگر چه سریع و قوی، تی رکس بسیار سخت به اهلی می باشد.,[i2auto]"""aceste animale puternice sunt primele de acest gen, deși rapid si puternic, T-Rex sunt foarte greu de a îmblânzi.""",[i2auto]สัตว์ที่ยิ่งใหญ่เหล่านี้เป็นด้านบนของมันเป็นชนิดแม้ว่าได้อย่างรวดเร็วและแข็งแรงเสื้อเร็กซ์เป็นเรื่องยากมากที่จะเชื่อง,[i2auto]"""estas poderosas bestias son la parte superior de su clase, aunque rápido y fuerte, t-rex son muy difícil de domar.""",[i2auto]"""Bu güçlü hayvanlar, hızlı ve güçlü, t-rex çok sert evcilleştirmek olmasına rağmen bunun üst tür vardır.""",[i2auto]"""những con quái vật hùng mạnh là đỉnh của nó là loại, mặc dù nhanh chóng và mạnh mẽ, t-rex là rất khó chế ngự.""",[i2auto]"""te potężne bestie są najlepsze w swoim rodzaju, chociaż szybki i silny, t-rex są bardzo trudne do oswojenia.""",[i2auto]هذه الحيوانات الجبارة هي أعلى من نوعها، على الرغم سريع وقوي، T-REX من الصعب جدا لترويض.,[i2auto]"""Tyto mocné bestie tvoří špičku svého druhu, i když rychlý a silný, t-rex je velmi těžké zkrotit.""","estes animais poderosos estão no topo de seu tipo, embora rápido e forte, t-rex é muito difícil de domar."
Descriptions/triceratops_desc,Text,,"Triceratops are heavy horned beasts, can be highly effective against structures, causes more damage if attacking on top speed.",[i2auto]"""Triceratops sont bêtes à cornes lourds, peuvent être très efficaces contre les structures, provoque plus de dégâts si attaquer sur la vitesse de pointe.""",[i2auto]"""Трицератопс являются тяжелые рогатые звери, могут быть весьма эффективны против структур, вызывает больше ущерба, если атаковать по максимальной скорости.""",[i2auto]"""Triceratops sind schwer gehörnten Bestien, können sehr effektiv gegen Strukturen, verursacht mehr Schaden, wenn Angriff auf Höchstgeschwindigkeit.""",[i2auto]"""최고 속도 공격하면 트리케라톱스가, 무거운 뿔이있는 짐승 구조에 매우 효과적 일 수있다, 더 많은 피해가 발생합니다.""",[i2auto]三角龙是重角的野兽，可以对结构高效，造成更多的伤害，如果攻击的最高速度。,[i2auto]"""Triceratops adalah binatang bertanduk berat, dapat sangat efektif terhadap struktur, menyebabkan kerusakan lebih jika menyerang pada kecepatan tertinggi.""",[i2auto]"""Triceratops sono bestie cornute pesanti, può essere molto efficace contro le strutture, provoca più danni se attaccare sulle velocità di punta.""",[i2auto]トップスピードの攻撃場合トリケラトプスが重い角状の獣であり、構造物に対して非常に有効であることができる、より多くの損傷を引き起こします。,[i2auto]تریسراتوپس هستند جانوران گاو سنگین، می تواند در برابر ساختارهای بسیار موثر، باعث آسیب بیشتر اگر حمله سرعت بالا.,[i2auto]"""Triceratops sunt animale cu coarne grele, poate fi foarte eficient împotriva structurilor, provoacă mai multe daune în cazul în care ataca pe viteza de top.""",[i2auto]Triceratops เป็นสัตว์มีเขาหนักสามารถมีประสิทธิภาพสูงกับโครงสร้างทำให้เกิดความเสียหายมากขึ้นหากการโจมตีบนความเร็วสูงสุด,[i2auto]"""Triceratops son bestias con cuernos pesados, pueden ser muy eficaces contra las estructuras, causa más daño si atacar en la parte superior velocidad.""",[i2auto]"""Üst hız saldıran eğer Triceratops, ağır boynuzlu hayvanlardır yapılara karşı oldukça etkili olabilir, daha hasara neden olur.""",[i2auto]"""Triceratops là những con thú có sừng nặng, có thể có hiệu quả cao đối với các cấu trúc, gây ra nhiều thiệt hại nếu tấn công vào tốc độ hàng đầu.""",[i2auto]"""Triceratops są ciężkie rogate bestie, mogą być bardzo skuteczne przeciw strukturom, powoduje więcej szkód w przypadku ataku na najwyższych obrotach.""",[i2auto]ترايسيراتوبس هي الوحوش مقرن الثقيلة، يمكن أن تكون فعالة جدا ضد الهياكل، ويسبب المزيد من الضرر إذا الهجوم عن سرعة قصوى.,[i2auto]"""Triceratops jsou těžké rohaté bestie, může být vysoce účinný proti strukturám, způsobí větší škodu, když útočí na nejvyšší rychlost.""","Triceratops são bestas pesadas de chifres ,pode ser altamente eficaz contra as estruturas, causa mais danos se atacando em velocidade máxima."
Descriptions/warlord_desc,Text,,"warlords are strong but slow, these fierce warriors specialize in hunting t-rex.",[i2auto]"""seigneurs de la guerre sont forts, mais lente, ces farouches guerriers se spécialisent dans la chasse T-Rex.""",[i2auto]"""полевые командиры сильны, но медленно, эти свирепые воины специализируются в охоте T-Rex.""",[i2auto]"""Warlords sind stark, aber langsam, diese wilde Krieger sind spezialisiert auf die Jagd T-Rex.""",[i2auto]군벌이 치열한 전사 T- 렉스 사냥을 전문으로 강한하지만 느리다.,[i2auto]军阀都很强，但是进展缓慢，这些凶猛的战士擅长狩猎霸王龙。,[i2auto]"""panglima perang yang kuat tapi lambat, ini prajurit yang ganas mengkhususkan diri dalam berburu t-rex.""",[i2auto]"""signori della guerra sono forti ma lenti, questi feroci guerrieri specializzati in caccia t-rex.""",[i2auto]武将が強いが遅く、これらの激しい戦士は狩猟T-REXに特化。,[i2auto]جنگ سالاران قوی اما کند، این جنگجویان شدید در شکار تی رکس تخصص.,[i2auto]"""Warlords sunt puternice, dar lent, aceste războinici feroce specializati in vânătoare T-Rex.""",[i2auto]ขุนศึกที่มีความแข็งแรง แต่ช้าเหล่านักรบที่รุนแรงมีความเชี่ยวชาญในการล่าสัตว์เสื้อเร็กซ์,[i2auto]"""señores de la guerra son fuertes pero lentos, estos feroces guerreros se especializan en la caza t-rex.""",[i2auto]"""savaş ağaları bu sert savaşçılar t-rex avcılık konusunda uzmanım, güçlü ama yavaş.""",[i2auto]"""lãnh chúa rất mạnh nhưng chậm, những chiến binh ác liệt chuyên săn t-rex.""",[i2auto]"""watażków są silne, ale powoli, te dzikie polowanie wojownicy Specjalizujemy się w T-Rex.""",[i2auto]أمراء الحرب قوية لكن بطيئة، هؤلاء المحاربين شرسة تتخصص في صيد T-REX.,[i2auto]"""válečníci jsou silné, ale pomalé, tito divocí válečníci se specializují na lov T-Rex.""","senhores da guerra são fortes, mas lentos, esses guerreiros ferozes são especializados em caçar t-rex."
Descriptions/worker_desc,Text,,"Workers are the foundation of our society, they build, repair and extract gold and mana.",[i2auto]"""Les travailleurs sont le fondement de notre société, ils construisent, la réparation et l'extrait de l'or et de mana.""",[i2auto]"""Работники являются основой нашего общества, они строят, ремонт и извлечения золота и маны.""",[i2auto]"""Arbeitnehmer sind die Grundlage unserer Gesellschaft, sie bauen, reparieren und extrahieren Gold und Mana.""",[i2auto]"""노동자들은, 수리 및 추출물 금과 마나를 구축, 우리 사회의 기초입니다.""",[i2auto]工人是我们社会的基础，他们建造，维修和提取黄金和法力。,[i2auto]"""Pekerja adalah dasar dari masyarakat kita, mereka membangun, memperbaiki dan ekstrak emas dan mana.""",[i2auto]"""I lavoratori sono il fondamento della nostra società, costruiscono, riparazione e l'estratto oro e mana.""",[i2auto]労働者は、彼らは、修理やエキスゴールドとマナを構築する、私たちの社会の基礎です。,[i2auto]کارگران پایه و اساس جامعه ما، آنها برای ساخت، تعمیر و استخراج طلا و مانا.,[i2auto]"""Lucrătorii sunt temelia societății noastre, ei construiesc, reparații și extract de aur și mana.""",[i2auto]แรงงานเป็นรากฐานของสังคมของเราที่พวกเขาสร้างซ่อมแซมและสารสกัดจากทองคำและมานะ,[i2auto]"""Los trabajadores son la base de nuestra sociedad, construyen, la reparación y el extracto de oro y de maná.""",[i2auto]"""İşçiler, onarım ve özü altın ve mana inşa, toplumumuzun temelidir.""",[i2auto]"""Công nhân là nền tảng của xã hội chúng ta, họ xây dựng, sửa chữa và chiết xuất vàng và mana.""",[i2auto]"""Pracownicy są podstawą naszego społeczeństwa, budują, naprawy i wyodrębnić złoto i many.""",[i2auto]العمال هم أساس مجتمعنا، وبناء وإصلاح واستخراج الذهب ومانا.,[i2auto]"""Pracovníci jsou základem naší společnosti, budují, opravy a extrahovat zlato a manu.""","Trabalhadores são a base da nossa sociedade, eles constroem, reparam e extraem ouro e mana."
Descriptions/projectile1_desc,Text,,[i2auto]projectile1_desc,[i2auto]projectile1_desc,[i2auto]projectile1_desc,[i2auto]projectile1_desc,[i2auto]projectile1_desc,[i2auto]projectile1_desc,[i2auto]projectile1_desc,[i2auto]projectile1_desc,[i2auto]projectile1_desc,[i2auto]projectile1_desc,[i2auto]projectile1_desc,[i2auto]projectile1_desc,[i2auto]projectile1_desc,[i2auto]projectile1_desc,[i2auto]projectile1_desc,[i2auto]projectile1_desc,[i2auto]projectile1_desc,[i2auto]projectile1_desc,[i2auto]projectile1_desc
Descriptions/projectile2_desc,Text,,[i2auto]projectile2_desc,[i2auto]projectile2_desc,[i2auto]projectile2_desc,[i2auto]projectile2_desc,[i2auto]projectile2_desc,[i2auto]projectile2_desc,[i2auto]projectile2_desc,[i2auto]projectile2_desc,[i2auto]projectile2_desc,[i2auto]projectile2_desc,[i2auto]projectile2_desc,[i2auto]projectile2_desc,[i2auto]projectile2_desc,[i2auto]projectile2_desc,[i2auto]projectile2_desc,[i2auto]projectile2_desc,[i2auto]projectile2_desc,[i2auto]projectile2_desc,[i2auto]projectile2_desc
Descriptions/projectile3_desc,Text,,[i2auto]projectile3_desc,[i2auto]projectile3_desc,[i2auto]projectile3_desc,[i2auto]projectile3_desc,[i2auto]projectile3_desc,[i2auto]projectile3_desc,[i2auto]projectile3_desc,[i2auto]projectile3_desc,[i2auto]projectile3_desc,[i2auto]projectile3_desc,[i2auto]projectile3_desc,[i2auto]projectile3_desc,[i2auto]projectile3_desc,[i2auto]projectile3_desc,[i2auto]projectile3_desc,[i2auto]projectile3_desc,[i2auto]projectile3_desc,[i2auto]projectile3_desc,[i2auto]projectile3_desc
